Body,Associated organisations,Title,Summary,Old URL,Publication date
" 

The Secretary of State for Scotland Michael Moore addressed over 1,100 delegates from all over the UK to the 2011 PILOT Share Fair in Aberdeen today. Companies making major investments in the UK's oil and gas resource presented details of upcoming work to a host of small and medium-sized supply chain contractors at the event which is designed to promote open and constructive dialogue on very technically complex or large scale projects.

The Secretary of State for Scotland Michael Moore MP said: ""The PILOT Share Fair is a key date in the oil and gas industry calendar. The industry is absolutely vital for Scotland and an event such as this which allows companies investing billions in the North Sea to explain their plans to the innovative companies in the Scottish supply chain is incredibly useful. We know the sector faces a number of significant opportunities and the UK Government will continue to work closely with the oil and gas industry in future.""
",Scotland Office,Secretary of State attends PILOT Share Fair in Aberdeen,,http://www.scotlandoffice.gov.uk/scotlandoffice/16202.html,2 Nov 2011
"A Citigroup investment report published this week has made clear the strength of the United Kingdom is key to the Scottish Government's renewables ambitions, the Secretary of State for Scotland said today.

The report  raised doubts on the compatibility of independence and the renewables policies and raised concerns that a separate Scotland's consumer base would be far too small to support the required level of subsidy to develop and maintain the sector.  
 

The Secretary of State for Scotland Michael Moore said: ""The Citigroup report is a perfect example of the referendum uncertainty that we have long warned about. 

""It is vital that we maximise the potential of the renewables sector by providing the stable environment in which that can happen.   
""The Scottish Government must end the uncertainty and confusion cause by the delay over the referendum and it should bring forward their proposals now.

""Scotland's renewables sector has enormous potential, and we are determined that Scotland will feel the full benefit of it, but the report makes absolutely clear that it is only the size and scale of UK investment and its consumer base that will make that happen.

""So Scotland's green energy future will not come about despite the UK; it will come about because of the UK. This is a perfect partnership for Scotland's green energy future and a further example of why we are stronger together, and poorer apart.""
",Scotland Office,"Scottish Government's renewables policy ""needs rest of the UK for success""",Investor advice from a major global group raises doubts on a separate Scotland 's ability to pursue its renewables policy without the support of the UK's consumer base,http://www.scotlandoffice.gov.uk/scotlandoffice/16201.html,2 Nov 2011
"The Secretary of State for Scotland Michael Moore visited RAF Kinloss and RAF Lossiemouth to meet personnel who served in Op ELLAMY (Libya) and to see progress being made towards transition of the bases.

Tornado GR4 aircraft, aircrew and engineering personnel from RAF Lossiemouth were deployed last year to in support of operations in Libya to protect the civilian population from attacks by Colonel Gaddafi's forces.

The Secretary of State said: ""I am delighted to pay tribute to the courage and professionalism of our RAF personnel who played an instrumental role in Coalition operations in Libya.""

The Secretary of State also welcomed progress on preparing Lossiemouth for the arrival of the Typhoon force and transitioning Kinloss from the RAF to the Army. 

""I am pleased to hear that work is well underway on both fronts.  I particularly welcome the active engagement by the local community in Moray who have been closely involved in preparing for the arrival of 39 Engineer Regiment in summer.  It is really important to build those lasting connections at an early stage and I am glad that the Regiment will receive such a warm welcome.

""I would also like to praise the efforts of the Kinloss Skills Partnership and Work Club who are doing some truly excellent work to help service personnel and families build links with employers, retaining skills and attract inward investment to the area.  This is really positive and I welcome the efforts of the individuals and organisations involved who are working to make this a success.""  
 
",Scotland Office,Secretary of State pays tribute to RAF personnel in Moray,The Secretary of State for Scotland Michael Moore visited RAF Kinloss and RAF Lossiemouth to meet personnel who served in Op ELLAMY (Libya) and to see progress being made towards transition of the bases.,http://www.scotlandoffice.gov.uk/scotlandoffice/16809.html,05 Apr 2012
"The full response document can be read [here](/scotlandoffice/files/20040 Cm 8326.pdf).

The UK Government's referendum consultation has produced overwhelming support for the Scottish people being asked a single, clear question on whether Scotland should become independent.

A broad coalition of members of the public, businesses and academics formed part of a 75 per cent response in favour of a single question.  The UK and Scottish Governments and all main political parties have already expressed a preference for a single question referendum. 

Scottish Secretary Michael Moore said: ""If all the political parties and the vast majority of respondents to our consultation agree that they would prefer a single question referendum then we must be able to agree that it will be a single question referendum.""

The UK Government today published a 26 page document summarising the 2857 responses to the consultation and setting out the level of support for the Government's proposals on how to facilitate a legal, fair and decisive referendum. 

The consultation responses revealed strong support for the following:

- 63% of those who support giving the Scottish Parliament the power to legislate for a referendum support the use of a Section 30 order.

-  70% of respondents agreed with the UK Government that the referendum should take place sooner rather than later, including a large number of businesses based in Scotland:

- 75% of respondents agreed with the UK Government that there should be a single question on Scotland's constitutional status.

- 86% of respondents to this section of the consultation paper agreed with the UK Government that the Electoral Commission should have a role in overseeing an independence referendum.   
   
-  71% of respondents expressed the view that those resident in Scotland should be entitled to vote in a referendum.  This shows a clear majority in support of the UK Government's  preference that the devolved legislature and local government franchise would be most suitable

- People gave reasons both of principle and practice for supporting a single question referendum:

Principle

- Independence and devolution are separate issues and should not be confused.

-  The Scottish Government was elected on a manifesto commitment to hold a referendum on independence.

Practice

- There is no agreement on what a second referendum question would be about.

- There would be an unclear and disputed outcome if a 2nd question received more support than independence but independence was pronounced the winner.  

Today's report also sets out the UK Government's own response to the consultation and explains how the Government plans  to proceed in light of the findings of the consultation.

Scottish Secretary Michael Moore said:

""I am grateful for the level and quality of the responses we have received to our consultation on the referendum.  I am also pleased that the proposals I set out in January to deliver a legal, fair and decisive referendum have been strongly endorsed. Putting the independence referendum on a sound legal footing was at the heart our proposals and there is strong support in the consultation for the UK and Scottish Governments agreeing an order to provide Holyrood with the legal power to hold the referendum.

""The consultation has also produced a resounding endorsement for the referendum having a single, clear question on independence.  The reasons given are compelling. The Scottish Government was elected on a manifesto commitment to hold an independence referendum. It is not at all clear what a second question would be about. There must be a clear and decisive outcome to this referendum and a multi-option referendum will confuse matters.

""The quality of the argument is also backed up by quantity. The individuals and organisations who are supporting this option have added their voice to the many already supporting a single question. We are now in the position where a single, clear question is the preference of the UK Government, the Scottish Government, the main political parties in Scotland and three-quarters of those responding to the consultation.

""If all the political parties and the vast majority of respondents to our consultation agree that they would prefer a single question referendum then we must be able to agree that it will be a single question referendum.

""There is very strong support in Scotland for getting on with this referendum sooner rather than later. In particular, it is clear that business feel the uncertainty is damaging and this is something we cannot ignore.

""It is important that the two governments can reach agreement on these matters so that we can move on to the real debate about whether Scotland's future should be as part of the United Kingdom or as a separate country outside of the UK.""
",Scotland Office,Consultation response shows strong support for a single question referendum sooner rather than later,"The UK Government today published a 26 page document summarising the 2857 responses to the consultation and setting out the level of support for the Government's proposals on how to facilitate a legal, fair and decisive referendum. ",http://www.scotlandoffice.gov.uk/scotlandoffice/16807.html,04 Apr 2012
"Michael Moore today visited the  Glen Ord distillery in Ross-shire to welcome the £3.2million investment by Diageo which has seen the site's  capacity increased by around a million litres per annum (mla), to 5.2mla, to help meet the growing export demand for whisky in Asia particularly.

The Singleton of Glen Ord malt whisky brand is the fastest growing single malt in the Asia-Pacific market region, according to the most recent data from IWSR (International Wine and Spirits Research). Its volume sales grew by 40% in 2010, breaking through the 100,000 case barrier (9 litre cases).

Announcing the successful completion of the distillery expansion, Mr Moore said:

""Whisky exports are good news for Scotland and I congratulate Diageo on its success. The expansion of the Glen Ord distillery shows the confidence behind one of Scotland's flagship industries. It will help further secure whisky's important place in the Scottish economy and its global brand, as well as securing and creating jobs.

""The UK Government has worked hard to help the industry in its export efforts by securing geographical indication status for Scotch whisky products in key markets around the world and continues to do so. Our UK trade networks support companies across the UK looking to do business in foreign markets."" 
",Scotland Office,Secretary of State marks expansion of Glen Ord distillery,"Minister tours facility which is growing to meet rising demand for whisky, particularly in the Asian market",http://www.scotlandoffice.gov.uk/scotlandoffice/16801.html,03 April 2012
"Scottish companies can play an essential role in helping young people into the job market by signing up to the UK Government's Youth Contract which comes into effect today (Monday 2 April).

Scottish Secretary Michael Moore called on more Scottish firms to sign up to the initiative as he began a series of visits across Scotland.

The Minister visited two companies in Caithness - Reids Bakery and Icetech  Freezers Ltd - which both gave their backing to the Youth Contract today.

The UK Government's £1 billion Youth Contract will provide nearly 500,000 new opportunities for 18-24 years olds across the UK, including apprenticeships and work experience placements.

It marks a substantial increase in the support and help available to young people through the Work Programme and Jobcentre Plus. Many businesses have already offered support by committing opportunities and vacancies for young people without jobs.  
The UK Government is working with over 200 large national employers in the country and hundreds of thousands of small and medium sized employers to help give young people the opportunity to gain skills and experience and to find work.

Measures include:

- 160,000 wage incentives of up to £2,275 for employers to recruits 18-24 year olds from the Work Programme.  
- 250,000 extra work experience placements over the next three years, providing at least 100,000 places per year.

The Secretary of State for Scotland Michael Moore said: ""I was glad to see two more companies in Caithness sign up to the Youth Contract as it launches today and I would encourage companies across Scotland to do the same.

""The UK Government is committed to getting young people into work and we have been working hard in Scotland to tackle the issue. The Youth Contract will help young people in Scotland - it will provide support for them through Jobcentre Plus and through work experience and it will help employers looking to recruit 18-24 year olds with wage incentives.

""Today's launch is a significant step towards creating more opportunities for young people. Earlier this month, I chaired Scotland¿s first National Convention on Youth Employment which brought together the Scottish Government, employment and skills organisations and a wide range of other bodies to find ways to remove barriers facing young people looking for work. We will continue to build on that strong base and the Youth Contract will provide major support for those efforts.""
",Scotland Office,Moore calls on Scotland to back Youth Contract,The Scottish Secretary called on more Scottish firms to sign up to the initiative as he began a series of visits across Scotland.,http://www.scotlandoffice.gov.uk/scotlandoffice/16779.html,02 April 2012
"The Secretary of State for Scotland Michael Moore took a flight out to observe an instillation in Tiffany oilfield in the North Sea this morning (Thurs 22 March). The Minister discussed the positive measures for the oil and gas sector announced in yesterday¿s Budget with James Edens and Dave Haywood of CNR International on the flight from Aberdeen airport.

Michael Moore said: ""The Budget will make a real difference to the companies working in the essential oil and gas sector in Scotland and will help secure billions of pounds of additional investment in the UK Continental Shelf. It is always good to see the scale of the investment being put into the North Sea by companies like CNR International and I am glad the industry has welcomed the measures announced by the Chancellor yesterday.""

""Taken alongside our announcements of a further reduction in corporation tax, support for the video games industry and extra money for job-creating enterprise zones in Dundee, Irvine and Nigg, this budget is one that will benefit Scottish business and help generate the jobs we need.""

Yesterday, the UK Government introduced a package of oil and gas measures in the Budget. to secure billions of pounds of additional investment in the UK Continental Shelf.

These include:

* a contractual approach to offer long term certainty on decommissioning relief;

* extending the amount and scope of the existing small field allowance;

* introducing a new field allowance targeted at the West of Shetland area  
 
",Scotland Office,Moore on flying visit to North Sea rig,,http://www.scotlandoffice.gov.uk/scotlandoffice/16747.html,22 Mar 2012
"The Budget will mean that 162,000 lower paid Scots no longer have to pay income tax, Scottish Secretary Michael Moore said today. He also highlighted the importance of the Budget for Scottish jobs and investment.

Mr Moore said key sectors of the Scottish economy such as oil and gas and the games industry have been targeted for specific support in the Budget while a further cut in Corporation tax will help all businesses in Scotland.

The Scottish Secretary also highlighted that since the 2010 Spending Review the Scottish Government have now received more than £1 billion in extra revenue from Barnett consequentials, of which £730m is for extra Capital spending. In the coming financial year, 2012-13, the Scottish Government will receive £336.3m more than originally allocated in the 2010 Spending Review.

Budget 2012 measures which will help Scotland include:

* An increase in Personal Allowance by a further £1,100 in April 2013 will remove a further 73,000 Scots from tax and benefit 2.1m Scots. This means that more than 160,000 Scots have now been removed from the tax system under this Government.  
* Raising the individual threshold for the withdrawal of child benefit to £50,000 will benefit 63,000 households in Scotland.

* A package of oil and gas measures that will stimulate billions of pounds of additional investment and increase production in the UK Continental Shelf.  
* The Government will introduce corporation tax reliefs for the video game industry from April 2013.

* Corporation tax is being cut by an additional 1 per cent to 24% in 2012 and will be cut to 22% by 2014. Corporation Tax stood at 28% when this Government came to office.  
* The National Loan Guarantee Scheme announced yesterday will help smaller businesses in Scottish receive cheaper loans.  
* The Government will make 100% capital allowances for plant or machinery investment from April 2012 at agreed sites at Irvine, Nigg and Dundee.

* There are Barnett consequentials in this Budget of £20.3m  
* Total Barnett consequentials since the 2010 Spending Review now exceed £1bn. This is £730.3m in Capital DEL and £367.2m in Resource DEL.  
* The total additional Barnett consequentials for 2012-13 since the Spending Review are £336.3m

The Scottish Secretary Michael Moore said:

""The Government has used this Budget to provide greater fairness for individuals and  to help Scottish businesses.  This is a Budget that will create more jobs in Scotland and it will help those who are already in jobs.

""We are committed to taking lower paid Scots out of the tax system altogether. The increase in personal allowances is the biggest rise in the last thirty years and will mean that a further 73,000 people in Scotland will not pay income tax.

""Key Scottish industries like the oil and gas sector and the games industry will benefit from specifically targeted measures in this Budget. We are also supporting Scottish business as a whole with another reduction in Corporation Tax to 24%. We have reached our original target for the Parliament and set out our ambitious new target to help Scottish business with further reductions to 22%.

""I am also pleased that we are able to offer tax help to the games industry in Scotland. Places like Dundee and Edinburgh will benefit from this move and I believe it can provide a real boost for this important industry.

""This Budget ensures the continuing stability of the UK economy while providing real help to people and business in Scotland. Scotland benefits from being part of a strong United Kingdom on the one hand and at the same time being able to take devolved decisions in Edinburgh. Since the Spending Review 18 months ago the Government has now allocated £1 billion in extra resources for the Scottish Government to spend. Nearly three-quarters of that money was for capital projects.

""Devolution provides the best of both worlds for Scotland and this Budget provides real help for people and business in Scotland.""
",Scotland Office,Moore: Budget will increase fairness and help Scottish business,Key sectors of the Scottish economy such as oil and gas and the games industry have been targeted for specific support in the Budget while a further cut in Corporation tax will help all businesses in Scotland.,http://www.scotlandoffice.gov.uk/scotlandoffice/16746.html,21 March 2012
"The Scotland Bill is set to bring major new powers to the Scottish Parliament after the UK Government and Scottish Government reached agreement on the provisions of the Bill, the Secretary of State for Scotland Michael Moore announced today (Wednesday 21 March).

The Scottish Secretary today set out in a Written Ministerial Statement to the House of Commons the measures agreed with the Scottish Government on the tax powers, borrowing powers and non-finance elements of the Scotland Bill.

Among the measures announced by Mr Moore are:

* The UK and Scottish Governments have the intention of reaching agreement on all implementation issues.  
* Borrowing limits will be reviewed regularly ahead of Spending Reviews.  
* The Government will shortly launch a consultation on the Scottish Government being able to issue its own bonds.  
* A certification requirement will not be introduced on appeals to the UK Supreme Court from Scottish criminal cases  but there will be a review of the new arrangements after three years of operation.

The Scottish Government will today  table a Legislative Consent  Memorandum which recommends the Scottish Parliament votes in support of the Bill when the Legislative Consent Motion is put before Holyrood.  The Scottish Secretary has always said he wanted the Scottish Parliament  to give their support for the largest ever transfer of powers from London to Holyrood.

If the Scotland Bill receives the support of both the UK and Scottish Parliaments over the coming weeks it will bring about the biggest transfer of fiscal power since the creation of the UK and includes:

* a new Scottish rate of income tax  
* the devolution of stamp duty land tax   
* the devolution of landfill tax  
* the power to create new taxes  
* new borrowing powers

This will bring a much higher level of financial accountability to Holyrood as MSPs become responsible for raising more of the money they spend.

The Secretary of State for Scotland Michael Moore said:

""Today marks a major step forward for devolution and I am glad Scotland's two governments have reached agreement over the Scotland Bill. The UK Government has been clear from the outset we believe it is the right package of new powers for Scotland. We have also been clear that we wanted the Scottish Parliament to support the measures contained in the Scotland Bill. It will strengthen devolution and the cross-government support for the Bill is good news for Scotland.

""There has been a great deal of debate around the Bill and we have worked closely and flexibly with the Scottish Government to make the changes required to secure an agreement. The Bill also remains faithful to the work of the Calman Commission which received such overwhelming support at the last General Election.""

The Secretary of State for Scotland (Michael Moore):  The Scotland Bill is a significant step forward in Scottish devolution.  It provides for the biggest transfer of fiscal power from London since the creation of the United Kingdom - including a new Scottish rate of income tax, full devolution of stamp duty land tax and landfill tax, and new borrowing powers.  Together, the OBR forecast that these measures will enable the Scottish Government to raise between £5bn and £6bn of its budget in addition to around £4bn it currently raises in council tax and non-domestic rates.

Since its introduction in November 2010, the Bill has had detailed scrutiny in the UK and Scottish Parliaments.  In Westminster, it has passed successfully through its Commons stages and will soon complete Lords Committee consideration.  In Holyrood, the Scottish Parliament voted overwhelmingly in support of the Bill last March.

After productive discussions with the Scottish Government in recent weeks, the Government is today announcing a package of measures in the Bill and supporting non-legislative arrangements to show that the powers will operate in a fair and sustainable way to the benefit of Scotland and the rest of the UK.

Agreement has been reached with the Scottish Government on both the finance and non-finance provisions included in the Bill and the Scottish Government will today table a Legislative Consent Memorandum recommending that the Scottish Parliament votes in support of the Bill on a further Legislative Consent Motion for the Bill.

Today's announcement provides more detail about the operation of the new tax and borrowing powers and about the non-finance elements of the Scotland Bill.  The Government is committed to: 

* The Government will ensure that changes in the Scottish Government¿s budget are closely linked to the performance of its economy by adjusting Scotland¿s budget to reflect new tax powers using the model recommended to the Welsh Assembly in the Holtham Report.  This approach, agreed with the Scottish Finance Minister and the Chief Secretary to the Treasury, will help protect the Scottish Government¿s budget from wider macro-economic shocks. 

* The Government will work together with the Scottish Government over coming months and years to give operational effect to the powers including the block grant adjustment, in a fair and sustainable way with the intention of reaching agreement on all implementation issues.

* The Scotland Bill will be amended to require the Secretary of State for Scotland and Scottish Ministers to produce annual reports to the UK and Scottish Parliaments on the progress of transferring the tax and borrowing powers to the Scottish Government.

* In line with long-standing principles of devolved funding, the Scottish Government will pay for its new income tax system of administration.  The Government will explore the scope to offset some of the savings from HMRC ceasing its administration of stamp duty land tax and landfill tax.

* Borrowing limits will be reviewed regularly ahead of Spending Reviews through the Joint Exchequer Committee.

* The Scottish Government will be given access to loans over a longer period in principle, subject to the ability to repay and the type of asset.

* The Government will shortly launch a consultation on the Scottish Government issuing its own bonds.

* Aggregates Levy will be devolved once the legal challenges in the European and UK courts have been fully resolved.  
* The Government is open to considering what further powers might be devolved  after a referendum on independence.

* The clauses reserving the regulation of health professions and insolvency will be removed, following assurances from the Scottish Government that they will work closely with the Government to ensure consistent regulatory regimes apply to health professions and that insolvency procedures are kept up to date and operate effectively throughout the UK.

* The clause allowing partial referral of Acts of the Scottish Parliament to the Supreme Court will be removed at the request of the Scottish Government.  This means in the future - as at present - a full Act could be referred to the Supreme Court, even if only a single provision raised competence issues.

* The clause on implementing international obligations will be removed following assurances from the Scottish Government that they will work closely with the Government to ensure that the UK continues at all times to implement its international obligations.  If there is a failure to implement any international obligation the UK Government may use its powers under s.58 (2) of the Scotland Act to direct Scottish Ministers.

* Additional amendments will be made to the provisions on appeals to the Supreme Court from Scottish criminal cases.  A certification requirement will not be introduced.  However, the new arrangements will be subject to a review, chaired by the Lord Justice General of Scotland, after three years of operation.  Certification will be included within the scope of the review, and it will be possible for changes to be made to the arrangements by subordinate legislation following the review.

These announcements today meet the tests the Government has set for changes to the Bill package - they are based on evidence, maintain the cross-party consensus which supports the Bill, and will benefit Scotland without detriment to the rest of the UK.

The Scotland Bill was introduced in November 2010 and has had detailed scrutiny in the UK and Scottish Parliaments. At Westminster it has passed successfully through its Commons stages and will soon complete Lords Committee consideration. At Holyrood, the Scottish Parliament voted overwhelmingly in support of the Bill last March.  It was also the subject of scrutiny by the Scottish Parliament Scotland Bill Committee. 
",Scotland Office,Governments reach agreement on Scotland Bill,"The Scotland Bill is set to bring major new powers to the Scottish Parliament after the UK Government and Scottish Government reached agreement on the provisions of the Bill, the Secretary of State for Scotland Michael Moore announced today",http://www.scotlandoffice.gov.uk/scotlandoffice/16728.html,21 March 2012
"Scotland needs its two governments and employers to work together to create work opportunities for young people across Scotland, the Secretary of State Michael Moore said today.

He highlighted three initiatives to help boost youth employment at the first National Convention on the issue at Dundee College today (Thursday 15 March).

The event was attended by around 300 delegates from both public and private sector organisations, including Jobcentre Plus.

The Minister was joined by the Secretary of State for Work and Pensions Iain Duncan Smith and the Scottish Government Ministers John Swinney and Angela Constance in Dundee.

The event is a culmination of several months of engagement across Scotland, during which the Secretary of State has met hundreds of young people, employers and stakeholders throughout the employment sector.

Moore told the audience agreement had been reached between the Department of Work and Pensions and ScotRail to offer unemployed people in Scotland a discount of 50% on rail travel throughout Scotland.

This will be available at the discretion of  Jobcentre Plus advisers from 13 weeks of registered unemployment, and will be introduced to Jobcentres from early April.

He also said the UK Government's Youth Contract announcement included an extra 250,000 Work Experience or sector-based work academy places over the next three years.   This will take the total to at least 100,000 a year Work Experience opportunities across Great Britain.

The Minister said over 2,000 young people have started on Work Experience in Scotland and announced a challenge to the assembled employers to provide a further 500 Work Experience placements. 

He added that the Youth Contract announcement also included 160,000 wage incentives over three years worth £2,275 each, for employers who employ an 18-24 year-old from the Work Programme.

The Youth Contract goes live in April and the Minister  used the convention to promote wage incentives to employers in the audience. He also announced a future programme of employer engagement around Scotland to encourage the recruitment of Work Programme participants and take-up of wage incentives.

Moore told the convention:

""I think it is of particular importance that the UK Government and the Scottish Government - the two governments of Scotland - work together on this critical issue.

""The purpose of today is to bring the key players in the youth employment debate on a focused basis.

""Youth unemployment is a problem which can appear to have more questions than answers but we can achieve far more together than apart.

""We need to ensure that efforts across all of our responsibilities connect. It is easy to work in isolation but with stretched resources we must work smarter, harder and together.

""Employers are the lynch pin in any employment policy.  It is very clear that we need to ensure Scottish employers know what help is available to them and crucially that any available help is appropriate to the needs of Scottish business. 

""Today we are promoting the availability of work incentives to employers.  From April, under the Youth Contract, Scottish employers will be able to access up to £2,275 wage incentive for each 18-24 year-old they employ for at least 26 weeks from the Work Programme.

""Following today's event I will be embarking on a series of events around Scotland to spread the word and encourage employers to take advantage of this incentive.

""The provision of bona fide long term jobs is our prime goal.  However, we know from our discussions with young people, that short term Work Experience is a vital component that can make all the difference to a young persons CV as they continue their journey towards work. 

""The Government Work Experience programme has created over two thousand placements in Scotland since last April. As a direct outcome of today's event I would like to ask employers to help me create a further 500 Work Experience placements.""
",Scotland Office,Moore: Scotland must work together to support youth employment,"Scotland needs its two governments and employers to work together to create work opportunities for young people across Scotland, the Secretary of State Michael Moore said today.",http://www.scotlandoffice.gov.uk/scotlandoffice/16708.html,15 Mar 2012
"ScotRail, the primary rail operator in Scotland, has agreed to introduce the Jobcentre Plus Travel Discount card onto its network from 1 April 2012. Eligible Jobcentre Plus claimants will be able to obtain a 50% discount on rail travel on ScotRail services within Scotland.

ScotRail will adopt the Association of Train Operating Companies (ATOC) eligibility rules. In addition, as a result of ScotRail's more generous funding agreement, claimants in Scotland will be able to access discounts earlier - after three months unemployment - and will be able to retain the card when participating in the Work Programme.  Claimants in England and Wales have to wait six months before becoming eligible.

These concessions from the standard scheme give significant extra help to jobseekers in Scotland.

The formal Memorandum of Understanding between Scotrail and Jobcentre Plus was signed at Dundee railway station, prior to the National Convention on Youth Employment in Dundee on 15 March 2012.

Jobcentre Plus provides the administration and funding of the cards and application forms. The card is issued to claimants at advisers' discretion to support return to work, job interviews and training.

Steve Montgomery, the managing director of ScotRail said: "" We are happy to support this initiative because it reduces the financial burden on people who are looking for work.""

The Secretary of State for Scotland Michael Moore said: ""This is an excellent and generous ScotRail initiative which will give practical support to those looking for work. We need to do all we can to help people into employment and discounted rail travel will  make it easier to attend interviews and seek out opportunities.""

Richard Cornish, DWP Work Services Director in Scotland, said: ""I'm delighted we've reached this agreement between Jobcentre Plus in Scotland and Scotrail which will enable claimants in Scotland to widen their jobsearch by reducing the cost of rail travel.""
",Scotland Office,ScotRail introduces enhanced Jobcentre Plus Travel Discount Card to Scotland,"ScotRail, the primary rail operator in Scotland, has agreed to introduce the Jobcentre Plus Travel Discount card onto its network from 1 April 2012.",http://www.scotlandoffice.gov.uk/scotlandoffice/16707.html,15 March 2012
"Unemployment in Scotland rose by 6,000, to 234,000 in the period November to January 2012, according to Office for National Statistics (ONS) data released today. The Scottish unemployment rate is 8.7 per cent, above the UK average of 8.4 per cent.

The labour market statistics also show employment in Scotland has decreased by 11,000 over the three months to November to January 2012. The number of those in employment in Scotland now stands at 2,463,000.

The Secretary of State for Scotland Michael Moore said:

""These figures reflect the challenging economic climate. They are a strong reminder that getting people into work is our first priority, especially as the Scottish unemployment rate remains above the rest of the UK.

""We are doing all we can to get Scotland working. The UK Government is laying the foundations for more sustainable growth in Scotland and creating the conditions for businesses to invest in good quality jobs.

""Our primary goal is to get young people into employment and tomorrow I will chair the first National Convention on Youth Employment in Dundee. We will bring together Ministers from both the UK and Scottish Governments with public and private sector organisations to work together for the benefit of our young people in Scotland.

""We also want to support our unemployed young people and this is why the Government is introducing a Youth Contract worth almost £1bn over the Spending Review Period.

""Scotland has also benefited from nation-wide investments in high quality infrastructure to the tune of over £430 million pounds which will help Scotland remain competitive.""

Headline Statistics for the November to January 2012 quarter:

-      Employment in Scotland fell by 11,000 over the quarter, and fell by 17,000 over the year to stand at 2,463,000.

-      The Scots employment rate fell over the quarter to 70.8 per cent. The rate is above the UK average of 70.3 per cent.

-      Unemployment in Scotland increased by 6,000 over the quarter and rose by 18,000 over the year.  The level now stands at 234,000.

-      At 8.7 per cent, the Scots unemployment rate is now above the UK rate as a whole which stands at 8.4%.

-      Economic Activity fell by 5,000 over the quarter and now stands at 2,697,000. The Economic Activity rate decreased over the quarter, and stands at 77.7 per cent.

-      In February 2012, the number of people out of work and claiming Jobseeker¿s Allowance (JSA) was 142,800.

The Labour Force Survey (LFS) indicates that the number of people in employment in Scotland from November to January 2012 was 2,463,000.  Employment was down by 11,000 compared to the previous three months, and is 17,000 lower than the same quarter last year. The employment rate was down on the previous quarter by 0.3 per cent, and fell 0.1 per cent over the year, to 70.8 per cent. In comparison, the Scottish employment rate is above the UK average.

Unemployment in Scotland was up 6,000 over the quarter November to January 2012, to 234,000.  The level was up 18,000 compared to the same quarter last year. The unemployment rate was up by 0.2 p.p. on the previous quarter at 8.7 per cent, which is up 0.7 p.p. over the year.

The claimant count in Scotland, based on the seasonally adjusted number of people claiming Job Seeker's Allowance (JSA), increased by 600 from January to 142,800 in February 2012.  The level is up by 5,400 on February 2011.  The claimant count rate remained unchanged over the month at 5.3 per cent, and up by 0.2 p.p. over the year.

The number of economically active (defined as those in employment or ILO unemployed, and seasonally adjusted) in Scotland in the November to January 2012 quarter was 2,697,000.  This was down 5,000 on the previous quarter, and is up 1,000 on the same point a year ago.  Among those aged 16-64 the economic activity rate was 77.7 per cent, a decrease of 0.2p.p. on the previous quarter, and up 0.4 p.p. over the year. 
",Scotland Office,March Labour Market Statistics for Scotland,"Unemployment in Scotland rose by 6,000, to 234,000 in the period November to January 2012, according to Office for National Statistics (ONS) data released today. The Scottish unemployment rate is 8.7 per cent, above the UK average of 8.4 per cent.",http://www.scotlandoffice.gov.uk/scotlandoffice/16666.html,14 March 2012
"The UK Government today announced that Perth has become one of the UK's new cities after being awarded formal city status as part of the Diamond Jubilee Civic Honours competition.

Perth, already known as the ""fair city"" locally, made a successful bid and has received the honour as part of a process marking Her Majesty The Queen's 60 years on the British throne.

Welcoming the news, the Secretary of State for Scotland Michael Moore said:

""Today's announcement of its city status is great news for the people who live there, for Perthshire and for Scotland as a whole. The city has a strong heritage and a vibrant culture and will continue to thrive under it new status. It is a great honour for Scotland and is a fitting way to mark the Diamond Jubilee here. I congratulate those who worked hard on the bid for making the case so strongly.""

The Scotland Office minister David Mundell was in Perth as the award was announced and met the Provost of Perth this morning.

He said:

""Perth has been at the heart of Scottish life for over 800 years and city status is also a recognition of Scotland¿s continuing place at the heart of the United Kingdom. I was glad to be able to be in Perth on the day of the announcement and see first-hand the welcome the news received. It is a fitting recognition of Perth's status, both in Scotland and as part of the UK.""  
 
",Scotland Office,Scotland Office Ministers welcome award of Perth city status,,http://www.scotlandoffice.gov.uk/scotlandoffice/16667.html,14 Mar 2012
