Associated organisations,Attachments,Title,Summary,Old URL,Type,Publication date
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/doc 1.pdf"", ""title"": ""doc 1.pdf[549.95 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/doc 2.pdf"", ""title"": ""doc 1.pdf[549.95 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/doc 3.pdf"", ""title"": ""doc 1.pdf[549.95 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/doc4_1.pdf"", ""title"": ""doc 1.pdf[549.95 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/doc4_2.pdf"", ""title"": ""doc 1.pdf[549.95 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/doc4_3.pdf"", ""title"": ""doc 1.pdf[549.95 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/doc4_4.pdf"", ""title"": ""doc 1.pdf[549.95 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/doc4_5.pdf"", ""title"": ""doc 1.pdf[549.95 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/doc13.pdf"", ""title"": ""doc 1.pdf[549.95 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/doc12.pdf"", ""title"": ""doc 1.pdf[549.95 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/doc11.pdf"", ""title"": ""doc 1.pdf[549.95 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/doc10.pdf"", ""title"": ""doc 1.pdf[549.95 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/doc9.pdf"", ""title"": ""doc 1.pdf[549.95 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/doc8.pdf"", ""title"": ""doc 1.pdf[549.95 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/doc7.pdf"", ""title"": ""doc 1.pdf[549.95 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/doc6.pdf"", ""title"": ""doc 1.pdf[549.95 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/doc5.pdf"", ""title"": ""doc 1.pdf[549.95 Kb]""}]",Stone of Destiny,,http://www.scotlandoffice.gov.uk/scotlandoffice/10804.146.html,Archive releases,07-Mar-2005
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/letter 1.pdf"", ""title"": ""letter 1.pdf[57.84 Kb]""}]",Fiscal Autonomy 1,,http://www.scotlandoffice.gov.uk/scotlandoffice/10805.145.html,Archive releases,25-Jan-2006
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/letter 2 and response.pdf"", ""title"": ""letter 2 and response.pdf[4.00 Mb]""}]",Fiscal Autonomy 2,,http://www.scotlandoffice.gov.uk/scotlandoffice/10805.145.html,Archive releases,25-Jan-2006
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/letters 5 and 6 and response.pdf"", ""title"": ""letters 5 and 6 and response.pdf[8.19 Mb]""}]",Fiscal Autonomy 5,,http://www.scotlandoffice.gov.uk/scotlandoffice/10805.145.html,Archive releases,25-Jan-2006
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/letter 4.pdf"", ""title"": ""letter 4.pdf[1.91 Mb]""}]",Fiscal autonomy 4,,http://www.scotlandoffice.gov.uk/scotlandoffice/10805.145.html,Archive releases,25-Jan-2006
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/letter 3.pdf"", ""title"": ""letter 3.pdf[2.15 Mb]""}]",Fiscal Autonomy 3,,http://www.scotlandoffice.gov.uk/scotlandoffice/10805.145.html,Archive releases,25-Jan-2006
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/FOISpendingonwine.pdf"", ""title"": ""FOISpendingonwine.pdf[49.78 Kb]""}]",Spending by the Scotland Office on wine,,http://www.scotlandoffice.gov.uk/scotlandoffice/10806.144.html,Archive releases,11-Jan-2007
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/FOIVisitsNIreland.pdf"", ""title"": ""FOIVisitsNIreland.pdf[40.76 Kb]""}]",Visits by the Secretary of State for Scotland to Northern Ireland,,http://www.scotlandoffice.gov.uk/scotlandoffice/10806.144.html,Archive releases,11-Jan-2007
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/FOI 180108 IT policy answer.pdf"", ""title"": ""FOI 180108 IT policy answer.pdf[32.15 Kb]""}, {""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/FOI 160108 IT policy request.pdf"", ""title"": ""FOI 180108 IT policy answer.pdf[32.15 Kb]""}]",IT policy,,http://www.scotlandoffice.gov.uk/scotlandoffice/10807.143.html,Archive releases,18-Jan-2008
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/FOI 140108 Secretary of State diary.pdf"", ""title"": ""FOI 140108 Secretary of State diary.pdf[91.51 Kb]""}]",Secretary of State's diary,,http://www.scotlandoffice.gov.uk/scotlandoffice/10807.143.html,Archive releases,14-Jan-2008
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/FOI 110108 Secretary of State diary.pdf"", ""title"": ""FOI 110108 Secretary of State diary.pdf[68.73 Kb]""}]",Secretary of State engagements,,http://www.scotlandoffice.gov.uk/scotlandoffice/10807.143.html,Archive releases,11-Jan-2008
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Hotels used by the Scotland Office.pdf"", ""title"": ""Hotels used by the Scotland Office""}]",Hotels used by the Scotland Office,,http://www.scotlandoffice.gov.uk/scotlandoffice/13342.html,Archive releases,22-Dec-2009
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/PR and Marketing Expenses.pdf"", ""title"": ""PR and Marketing Expenses""}]",PR and Marketing Expenses,,http://www.scotlandoffice.gov.uk/scotlandoffice/13342.html,Archive releases,17-Dec-2009
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Staff Expenses 1.pdf"", ""title"": ""Staff Expenses 1""}]",Staff Expenses 1,,http://www.scotlandoffice.gov.uk/scotlandoffice/13342.html,Archive releases,14-Dec-2009
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Staff Expenses 2.pdf"", ""title"": ""Staff Expenses 2""}]",Staff Expenses 2,,http://www.scotlandoffice.gov.uk/scotlandoffice/13342.html,Archive releases,14-Dec-2009
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Head of Office Expenses.pdf"", ""title"": ""Head of Office Expenses""}]",Head of Office Expenses,,http://www.scotlandoffice.gov.uk/scotlandoffice/13342.html,Archive releases,14-Dec-2009
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 674.pdf"", ""title"": ""Spending Reduction 80kb""}]",Spending Reductions,,http://www.scotlandoffice.gov.uk/scotlandoffice/13661.html,Archive releases,15-Dec-2010
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website.pdf"", ""title"": ""Bank Penalty Fee 56KB""}]",Bank Penalty Fee,,http://www.scotlandoffice.gov.uk/scotlandoffice/13661.html,Archive releases,07-Dec-2010
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 344.pdf"", ""title"": ""Meetings between SO Ministers, special advisers & journalists (91KB)""}]","Meetings between SO Ministers, special advisers & journalists",,http://www.scotlandoffice.gov.uk/scotlandoffice/15263.html,Archive releases,22-Dec-2011
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 355.pdf"", ""title"": ""New Regulations (173KB)""}]",New Regulations,,http://www.scotlandoffice.gov.uk/scotlandoffice/15263.html,Archive releases,20-Dec-2011
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 359.pdf"", ""title"": ""Payments to private investigators (78KB)""}]",Payments to private investigators,,http://www.scotlandoffice.gov.uk/scotlandoffice/15263.html,Archive releases,19-Dec-2011
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 317.pdf"", ""title"": ""Guidance on personal emails (58KB)""}]",Guidance on personal emails,,http://www.scotlandoffice.gov.uk/scotlandoffice/15263.html,Archive releases,19-Dec-2011
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 351.pdf"", ""title"": ""Staff numbers since 6 May 2010 (188KB)""}]",Staff numbers since 6 May 2010,,http://www.scotlandoffice.gov.uk/scotlandoffice/15263.html,Archive releases,19-Dec-2011
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 353.pdf"", ""title"": ""Artwork purchased from 2006 (65KB)""}]",Artwork purchased from 2006,,http://www.scotlandoffice.gov.uk/scotlandoffice/15263.html,Archive releases,16-Dec-2011
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 352.pdf"", ""title"": ""Ministerial conduct (44KB)""}]",Ministerial conduct,,http://www.scotlandoffice.gov.uk/scotlandoffice/15263.html,Archive releases,15-Dec-2011
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 356.pdf"", ""title"": ""Wages & Expenses relating to arrival of pandas (80KB)""}]",Wages & Expenses relating to arrival of pandas,,http://www.scotlandoffice.gov.uk/scotlandoffice/15263.html,Archive releases,07-Dec-2011
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Version for website 339.pdf"", ""title"": ""Expenditure on hospitality over past two years (233KB)""}]",Expenditure on hospitality over past two years,,http://www.scotlandoffice.gov.uk/scotlandoffice/15263.html,Archive releases,07-Dec-2011
Scotland Office,"[{""link"": ""http://www.scotlandoffice.gov.uk/scotlandoffice/files/Revised version for website 354.pdf"", ""title"": ""Scotland Office expenses towards arrival of Panda's (68KB)""}]",Scotland Office expenses towards arrival of Panda's,,http://www.scotlandoffice.gov.uk/scotlandoffice/15263.html,Archive releases,06-Dec-2011
